"","V1","V2","V3","prob","cumul.prob","V6"
"1599",11,70,19,3.11331316286003e-15,8.18560158836212e-14,61.46
"1600",65,1,34,7.43675244258656e-20,8.18560902511456e-14,61.46
"1601",1,65,34,7.43675244258656e-20,8.18561646186701e-14,61.46
"1602",34,1,65,7.43675244258656e-20,8.18562389861945e-14,61.46
"1603",1,34,65,7.43675244258656e-20,8.18563133537189e-14,61.46
"1604",19,11,70,3.11331316286003e-15,8.4969626516579e-14,61.46
"1605",11,19,70,3.11331316286003e-15,8.8082939679439e-14,61.46
"1606",68,27,5,5.58799798462009e-17,8.81388196592852e-14,61.34
"1607",27,68,5,5.58799798462009e-17,8.81946996391314e-14,61.34
"1608",68,5,27,5.58799798462009e-17,8.82505796189776e-14,61.34
"1609",5,68,27,5.58799798462009e-17,8.83064595988238e-14,61.34
"1610",27,5,68,5.58799798462009e-17,8.836233957867e-14,61.34
"1611",5,27,68,5.58799798462009e-17,8.84182195585162e-14,61.34
"1612",70,18,12,4.92941250786161e-15,9.33476320663778e-14,61.04
"1613",18,70,12,4.92941250786161e-15,9.82770445742394e-14,61.04
"1614",70,12,18,4.92941250786161e-15,1.03206457082101e-13,61.04
"1615",12,70,18,4.92941250786161e-15,1.08135869589963e-13,61.04
"1616",18,12,70,4.92941250786161e-15,1.13065282097824e-13,61.04
"1617",12,18,70,4.92941250786161e-15,1.17994694605686e-13,61.04
"1618",70,17,13,6.82534039550092e-15,1.24820035001187e-13,60.74
"1619",17,70,13,6.82534039550092e-15,1.31645375396688e-13,60.74
"1620",70,13,17,6.82534039550092e-15,1.38470715792189e-13,60.74
"1621",13,70,17,6.82534039550092e-15,1.4529605618769e-13,60.74
"1622",17,13,70,6.82534039550092e-15,1.5212139658319e-13,60.74
"1623",13,17,70,6.82534039550092e-15,1.58946736978691e-13,60.74
"1624",69,23,8,1.01521081397602e-15,1.59961947792667e-13,60.62
"1625",23,69,8,1.01521081397602e-15,1.60977158606643e-13,60.62
"1626",69,8,23,1.01521081397602e-15,1.61992369420619e-13,60.62
"1627",8,69,23,1.01521081397602e-15,1.63007580234595e-13,60.62
"1628",23,8,69,1.01521081397602e-15,1.64022791048571e-13,60.62
"1629",8,23,69,1.01521081397602e-15,1.65038001862547e-13,60.62
"1630",70,16,14,8.28791333739367e-15,1.73325915199941e-13,60.56
"1631",16,70,14,8.28791333739367e-15,1.81613828537335e-13,60.56
"1632",70,14,16,8.28791333739367e-15,1.89901741874728e-13,60.56
"1633",14,70,16,8.28791333739367e-15,1.98189655212122e-13,60.56
"1634",16,14,70,8.28791333739367e-15,2.06477568549516e-13,60.56
"1635",14,16,70,8.28791333739367e-15,2.1476548188691e-13,60.56
"1636",70,15,15,8.8404408932201e-15,2.2360592278013e-13,60.5
